sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,19,,良好,0.2,0.21,39.5,,19,6,2.4,3.2,0.8,2,91,"2024/10/08 16:00:00",0.1,4.8,19,0,121.760056,25.129167,1
汐止,新北市,41,,良好,0.7,0.19,51.5,44.3,13,10,8,8.7,0.6,2.4,48,"2024/10/08 16:00:00",0.1,5.9,10,0,121.64081,25.06624,2
萬里,新北市,61,臭氧八小時,普通,0.4,0.23,62.9,58.7,35,12,2.9,4.1,1.1,3.2,31,"2024/10/08 16:00:00",0.1,8.4,36,0,121.689881,25.179667,3
新店,新北市,35,,良好,0.3,0.26,44.2,38.4,11,7,,,,1,101,"2024/10/08 16:00:00",0.2,7,10,0,121.537778,24.977222,4
土城,新北市,36,,良好,1,0.26,45.5,39.1,15,3,10.6,11.6,0.9,0.9,215,"2024/10/08 16:00:00",0.3,0.6,11,0,121.451861,24.982528,5
板橋,新北市,35,,良好,0.3,0.33,41.2,38.9,16,7,17.6,19.4,1.7,1.9,107,"2024/10/08 16:00:00",0.3,3.6,8,0,121.458667,25.012972,6
新莊,新北市,31,,良好,0.8,0.31,37.7,33.9,17,7,16.6,17.4,0.8,1.5,348,"2024/10/08 16:00:00",0.3,6.1,12,0,121.4325,25.037972,7
菜寮,新北市,35,,良好,0.5,0.42,33.9,35.2,3,8,21.7,23.8,2,0.7,267,"2024/10/08 16:00:00",0.4,7.3,4,0,121.481028,25.06895,8
林口,新北市,39,,良好,0.3,0.22,45.8,42.6,6,2,14,16.5,2.5,3.3,49,"2024/10/08 16:00:00",0.1,2.8,5,0,121.36548982,25.07798949,9
淡水,新北市,45,,良好,1,0.2,53,49.6,17,10,3.8,4.6,0.8,,,"2024/10/08 16:00:00",0.1,4.7,11,1,121.449239,25.1645,10
士林,臺北市,37,,良好,0.7,0.31,29.9,32.8,15,2,22.7,24.2,1.4,1.5,206,"2024/10/08 16:00:00",0.2,1.2,9,0,121.51666356,25.10334003,11
中山,臺北市,32,,良好,0.6,0.33,36.7,31.4,20,10,19.2,22.1,2.9,2,78,"2024/10/08 16:00:00",0.3,7.2,12,0,121.526528,25.062361,12
萬華,臺北市,33,,良好,1.1,0.28,42.7,36,8,6,15.2,16.6,1.3,2.4,102,"2024/10/08 16:00:00",0.3,4.6,9,1,121.507972,25.046503,13
古亭,臺北市,37,,良好,0.6,0.27,32.6,29.8,20,8,22.6,28.4,5.8,1.3,56,"2024/10/08 16:00:00",0.2,7.4,15,0,121.529556,25.020608,14
松山,臺北市,32,,良好,0.6,0.24,38.2,35.3,12,8,18.7,20.8,2.1,2.1,23,"2024/10/08 16:00:00",0.2,5.2,11,0,121.578611,25.05,15
大同,臺北市,56,二氧化氮,普通,1,1,15.1,15.4,30,18,38.2,73.3,35.1,-,-,"2024/10/08 16:00:00",0.9,14.8,22,0,121.51342074,25.06331455,16
桃園,桃園市,32,,良好,0.2,0.34,35.8,35.8,6,4,16.8,18.1,1.2,1.9,19,"2024/10/08 16:00:00",0.3,1.3,3,0,121.30500531,24.9947107,17
大園,桃園市,45,,良好,1,0.21,50,49.5,25,5,11.1,12.7,1.5,6.6,38,"2024/10/08 16:00:00",0.1,5.7,17,0,121.20251473,25.06100357,18
觀音,桃園市,46,,良好,0.9,0.19,54.2,50.2,30,10,5.4,5.9,0.5,7.1,60,"2024/10/08 16:00:00",0.1,6.3,20,0,121.08283092,25.03556747,19
平鎮,桃園市,34,,良好,,0.3,40.6,37.4,12,3,,,,2.9,74,"2024/10/08 16:00:00",0.2,3.3,8,0,121.203986,24.952786,20
龍潭,桃園市,38,,良好,0.9,0.22,44.5,41.1,15,8,8.4,9.5,1,4.7,67,"2024/10/08 16:00:00",0.2,4.2,10,0,121.21645772,24.86400048,21
湖口,新竹縣,44,,良好,0.6,0.21,49.3,47.7,12,5,7,7.8,0.8,4.9,49,"2024/10/08 16:00:00",0.1,4.9,9,0,121.03886894,24.90009696,22
竹東,新竹縣,40,,良好,0.1,0.17,47.3,43,6,4,3.8,5.3,1.4,5.1,33,"2024/10/08 16:00:00",0.1,1.9,4,0,121.08895493,24.74091408,23
新竹,新竹市,42,,良好,1.4,0.25,46.9,45.5,8,8,9.3,10.3,0.9,3.8,37,"2024/10/08 16:00:00",0.2,2.7,6,1,120.97236752,24.8056356,24
頭份,苗栗縣,41,,良好,1.2,0.22,48.6,44.4,8,7,6.9,9.5,2.5,3.3,17,"2024/10/08 16:00:00",0.2,5.9,9,1,120.89869286,24.69690679,25
苗栗,苗栗縣,38,,良好,1.5,0.21,46.7,41.9,9,6,7.1,8.6,1.5,4.5,19,"2024/10/08 16:00:00",0.1,6.1,11,1,120.82011468,24.56499183,26
三義,苗栗縣,33,,良好,1,0.18,,36.4,5,3,,,,5.8,12,"2024/10/08 16:00:00",0.1,2,5,0,120.75956754,24.38248443,27
豐原,臺中市,33,,良好,2,0.2,46.5,36.4,7,2,2.7,3.8,1.1,2.3,359,"2024/10/08 16:00:00",0.1,0.6,5,0,120.74252414,24.25699731,28
沙鹿,臺中市,41,,良好,0.9,0.2,51.8,44.5,21,4,4.6,5.7,1,5,30,"2024/10/08 16:00:00",0.1,4.6,14,0,120.568794,24.225628,29
大里,臺中市,36,,良好,,0.2,49,39.7,12,6,7,9.1,2.1,2.7,349,"2024/10/08 16:00:00",0.2,6.2,12,1,120.67844444,24.09961111,30
忠明,臺中市,35,,良好,1.8,0.3,46.1,38.1,45,29,8.6,10.8,2.2,3.1,42,"2024/10/08 16:00:00",0.2,7.7,17,0,120.641092,24.151958,31
西屯,臺中市,35,,良好,1.1,0.17,45.5,38.5,21,3,4.8,5.5,0.7,4,17,"2024/10/08 16:00:00",0.1,3.3,16,0,120.616917,24.162197,32
彰化,彰化縣,39,,良好,0.4,0.2,50,42.5,17,4,8,9.9,1.9,3.6,24,"2024/10/08 16:00:00",0.1,3.2,14,0,120.541519,24.066,33
線西,彰化縣,42,,良好,1.3,0.27,53.3,45.4,52,7,8.2,10.3,2,8,23,"2024/10/08 16:00:00",0.2,7.1,,1,120.469061,24.131672,34
二林,彰化縣,44,,良好,2.2,0.24,55,47.2,44,14,7.2,8.6,1.3,4.1,18,"2024/10/08 16:00:00",0.2,11.6,40,2,120.409653,23.925175,35
南投,南投縣,40,,良好,1.6,0.24,57.8,43.4,17,8,9.3,10.4,1.1,2.2,331,"2024/10/08 16:00:00",0.2,8.5,16,0,120.685306,23.913,36
斗六,雲林縣,47,,良好,1,0.19,69.1,51.4,31,6,4.7,6.4,1.6,3.1,331,"2024/10/08 16:00:00",0.1,10.6,24,0,120.544994,23.711853,37
崙背,雲林縣,52,懸浮微粒,普通,2.2,0.24,53.8,46.1,67,18,8,8.8,0.8,2.5,352,"2024/10/08 16:00:00",0.2,13.5,52,1,120.348742,23.757547,38
新港,嘉義縣,47,,良好,2.2,0.21,67,51.4,68,19,4.1,5.4,1.3,3.1,322,"2024/10/08 16:00:00",0.1,12.8,42,2,120.345531,23.554839,39
朴子,嘉義縣,44,,良好,,,,39,53,14,,,,2.2,350,"2024/10/08 16:00:00",0.1,13.4,,0,120.2478,23.46538,40
臺西,雲林縣,45,,良好,0.8,0.18,58.7,47.4,78,10,2.7,3.4,0.7,8.8,21,"2024/10/08 16:00:00",0.1,8.7,45,1,120.19933333,23.702175,41
嘉義,嘉義市,48,,良好,2.2,0.25,66.5,47.3,53,15,6.8,7.6,0.7,4.6,340,"2024/10/08 16:00:00",0.2,14.8,35,1,120.44125148,23.46477865,42
新營,臺南市,53,細懸浮微粒,普通,1,0.2,63,46.7,60,19,5,6.7,1.7,2.8,358,"2024/10/08 16:00:00",0.2,16.5,37,1,120.31725,23.305633,43
善化,臺南市,51,細懸浮微粒,普通,1.1,0.15,63.5,46.9,43,16,4.2,5.4,1.2,3,339,"2024/10/08 16:00:00",0.1,15.7,28,2,120.29740529,23.11337642,44
安南,臺南市,55,細懸浮微粒,普通,,,61.7,,41,15,,,,2.5,304,"2024/10/08 16:00:00",0.3,17.1,36,1,120.2175,23.048197,45
臺南,臺南市,45,,良好,0.9,0.19,64.9,49.9,42,12,5.5,6.1,0.5,2.1,313,"2024/10/08 16:00:00",0.2,13.7,36,0,120.21947897,22.98928311,46
美濃,高雄市,35,,良好,0.5,0.15,51,38.3,12,10,4.2,4.7,0.5,2.1,76,"2024/10/08 16:00:00",0.1,6.3,19,0,120.530542,22.883583,47
橋頭,高雄市,42,,良好,0.8,0.15,48,45.2,20,9,,,,2.6,251,"2024/10/08 16:00:00",0.2,11.7,21,1,120.305689,22.757506,48
仁武,高雄市,45,,良好,,,53.5,46.6,28,,,,,2.5,310,"2024/10/08 16:00:00",0.3,13.8,29,1,120.332631,22.689056,49
鳳山,高雄市,45,,良好,0.7,0.33,47.6,44.5,28,10,10.1,12.5,2.3,0.8,141,"2024/10/08 16:00:00",0.4,13.8,28,0,120.357422,22.628126,50
大寮,高雄市,61,細懸浮微粒,普通,9.6,0.54,43.3,42.3,37,21,20.9,24.3,3.4,1.7,244,"2024/10/08 16:00:00",0.3,19.5,32,3,120.425311,22.56413611,51
林園,高雄市,51,細懸浮微粒,普通,,0.18,68.8,52.8,24,22,3.9,4.5,0.6,2,236,"2024/10/08 16:00:00",0.1,15.7,25,0,120.41175,22.4795,52
楠梓,高雄市,43,,良好,0.7,0.15,49.3,46.6,23,10,5.3,5.8,0.5,1.8,277,"2024/10/08 16:00:00",0.2,11.2,30,0,120.328289,22.733667,53
左營,高雄市,44,,良好,1.2,0.16,58.2,47.4,24,9,2.8,4.1,1.3,1.8,288,"2024/10/08 16:00:00",0.2,12.3,27,1,120.292917,22.674861,54
前金,高雄市,46,,良好,1.4,0.18,57,50.2,28,10,2.7,3.8,1,1.5,240,"2024/10/08 16:00:00",0.2,12.6,31,0,120.28676111,22.63390278,56
前鎮,高雄市,55,細懸浮微粒,普通,1.4,0.18,56.6,46.8,42,14,9.7,11.4,1.7,2,25,"2024/10/08 16:00:00",0.2,17.3,37,1,120.30833356,22.6044507,57
小港,高雄市,61,細懸浮微粒,普通,2.3,0.17,56.6,42.4,32,17,11.2,13.2,1.9,2.5,254,"2024/10/08 16:00:00",0.2,19.6,33,2,120.337736,22.565833,58
屏東,屏東縣,42,,良好,1.1,0.34,51.9,45.3,21,17,12.9,14.8,1.8,1.2,114,"2024/10/08 16:00:00",0.2,10.9,25,1,120.488033,22.673081,59
潮州,屏東縣,44,,良好,0.7,0.21,55.4,48.4,15,9,4.5,4.9,0.4,1.8,72,"2024/10/08 16:00:00",0.1,9.4,18,0,120.561175,22.523108,60
恆春,屏東縣,26,,良好,0.4,0.06,28.7,28.2,8,5,0.7,1.2,0.5,4.9,30,"2024/10/08 16:00:00",0,3.7,8,0,120.788928,21.958069,61
臺東,臺東縣,26,,良好,1.2,0.14,,28.3,,3,3.9,5,1.1,3.3,47,"2024/10/08 16:00:00",0.1,2.5,23,1,121.15045,22.755358,62
花蓮,花蓮縣,38,,良好,0.8,0.2,50.9,41.8,25,4,2.2,3.4,1.1,4,49,"2024/10/08 16:00:00",0.1,3,19,0,121.599769,23.971306,63
陽明,臺北市,47,,良好,0.4,0.2,55.1,51.3,1,0,1.4,1.8,0.4,,,"2024/10/08 16:00:00",0.1,1.2,2,0,121.529583,25.182722,64
宜蘭,宜蘭縣,40,,良好,1.4,0.22,48.9,43.3,18,12,5.6,6.4,0.7,1.9,42,"2024/10/08 16:00:00",0.1,5.2,13,1,121.746394,24.747917,65
冬山,宜蘭縣,39,,良好,,0.19,48.9,42,11,2,6.3,7.5,1.1,1.7,265,"2024/10/08 16:00:00",0.1,3.8,21,0,121.792928,24.632203,66
三重,新北市,61,二氧化氮,普通,0.4,0.88,13.4,12.4,18,11,45.5,94.8,49.3,-,-,"2024/10/08 16:00:00",1,8.4,13,0,121.493806,25.072611,67
中壢,桃園市,48,,良好,1.9,0.49,25.2,21.7,8,6,29.3,42.2,12.9,0.8,23,"2024/10/08 16:00:00",0.4,6.7,9,1,121.221667,24.953278,68
竹山,南投縣,42,,良好,0.6,0.19,66.8,45.3,24,12,4.2,4.7,0.5,2.5,23,"2024/10/08 16:00:00",0.1,11.9,24,0,120.677306,23.756389,69
永和,新北市,33,,良好,,,,36.3,,5,,,,1.2,87,"2024/10/08 16:00:00",0.4,4.6,12,0,121.516306,25.017,70
復興,高雄市,48,,良好,1.1,0.17,56.7,45.8,26,10,7.9,8.9,1,0.9,197,"2024/10/08 16:00:00",0.3,14.7,31,1,120.312017,22.608711,71
埔里,南投縣,36,,良好,1,0.19,48.7,39.4,14,12,2.8,3.7,0.8,1.9,286,"2024/10/08 16:00:00",0.2,10.7,15,0,120.967903,23.968842,72
馬祖,連江縣,45,,良好,0,0.21,53.9,49.3,17,7,3.3,3.9,0.6,2.4,324,"2024/10/08 16:00:00",0.1,3.8,13,0,119.952724,26.153736,75
金門,金門縣,46,,良好,0.8,0.24,,50.2,11,,5.8,6.2,0.4,2.4,79,"2024/10/08 16:00:00",0.2,3.2,10,0,118.312256,24.432133,77
馬公,澎湖縣,44,,良好,1.7,0.17,55.1,48.7,14,9,1.9,2.3,0.4,6.9,29,"2024/10/08 16:00:00",0.1,3,12,1,119.566158,23.569031,78
關山,臺東縣,22,,良好,0.3,0.11,29.9,24.9,17,7,1.8,2.3,0.4,2.4,9,"2024/10/08 16:00:00",0.1,1.6,13,0,121.161933,23.045083,80
麥寮,雲林縣,45,,良好,1.6,0.19,60,49.9,39,10,,,,7.1,358,"2024/10/08 16:00:00",0.1,8.9,38,1,120.251825,23.753506,83
富貴角,新北市,71,臭氧八小時,普通,0.7,0.2,65,61,45,10,1.6,1.6,0,11.9,35,"2024/10/08 16:00:00",0.1,11,43,,121.53656894,25.29681695,84
大城,彰化縣,49,,良好,1.5,0.13,63.1,53.5,25,12,1.5,3.2,1.7,8.5,43,"2024/10/08 16:00:00",0.1,7.8,22,1,120.26964167,23.85493056,85
彰化（員林）,彰化縣,45,,良好,1.2,0.22,55.9,49.1,19,3,6.8,9.9,3.1,1.6,354,"2024/10/08 16:00:00",0.2,7.2,19,1,120.56373,23.96117,201
高雄（湖內）,高雄市,39,,良好,1.6,0.17,59.5,42.4,,6,,,,1.9,276,"2024/10/08 16:00:00",0.1,7.9,,1,120.24535,22.87985556,202
臺南（麻豆）,臺南市,43,,良好,1.2,0.17,59.9,41.7,45,12,5.1,6.2,1,2.4,348,"2024/10/08 16:00:00",0.2,13.3,37,0,120.24583056,23.17904722,203
屏東（琉球）,屏東縣,51,細懸浮微粒,普通,1.1,0.18,69.4,45.3,40,19,2.6,3.1,0.4,2.1,322,"2024/10/08 16:00:00",0.1,15.5,24,0,120.37722,22.35222,204
新北(樹林),新北市,40,,良好,0.5,0.32,26.9,23.6,19,3,24.9,29.3,4.3,0.3,132,"2024/10/08 16:00:00",0.3,2.7,14,0,121.38352778,24.94902778,311
宜蘭（頭城）,宜蘭縣,44,,良好,0.3,0.21,52.4,47.4,12,1,3.5,3.6,0,1.5,45,"2024/10/08 16:00:00",0.2,2.5,15,0,121.82463916,24.85366672,312
屏東(枋山),屏東縣,31,,良好,,0.1,31.2,33.2,8,1,1.9,2.5,0.5,2.9,92,"2024/10/08 16:00:00",0.1,2.5,15,,120.651472,22.260899,313
